,0,1
0,2259911.1369960224,2081979.5688481638
1,7063889.783428521,5087240.406253418
2,9646245.451661937,6238601.357892294
3,14525964.406802919,8098599.50694228
4,15164913.864773525,12688431.837294722
5,41432965.41627004,5383360.63567861
6,12675020.82887249,6366901.462262625
7,11941456.40707325,22972592.356153797
8,10842689.825638626,2770194.8701244164
9,12075814.7516553,2084316.6078063739
10,6360480.803652957,18302156.850880492
11,3465719.562564683,9553325.263763068
12,2900308.1496358924,14135967.541589867
13,2155707.8162249355,2735307.321729593
14,2246693.7964754184,6456008.289327631
15,9339489.609297955,9822645.582519757
16,5332063.338624096,8336890.059183682
17,31646131.241614327,36611399.23236903
18,2848329.3773969193,9544019.470692238
19,4405289.814734311,16961064.00911195
20,15045158.100794137,9222176.79808374
21,36879795.22806446,9680813.38542613
22,3567030.028011857,12641447.29678658
23,4218234.469899073,18715199.135955855
24,7728979.637528996,3142241.283513219
25,10833431.987187147,9542510.563965192
26,13335142.505612379,2481072.2843343024
27,10312454.623868387,7553321.343373752
28,5340679.330836969,13328878.500175329
29,16010368.521344533,13107571.990714623
30,15405890.405162077,12612997.938656677
31,8853937.838777356,2187373.204011287
32,12668145.38925247,1998441.092651956
33,11771096.491396183,9388090.47677573
34,14557703.776049415,14775030.374438474
35,9900271.586602375,4452346.2143319305
36,1952141.1939748186,2980835.203380157
37,8784589.747404374,25789271.152230002
38,17711372.592656463,4105350.062168485
39,14539644.118982963,10053466.268055663
40,8091247.02074575,42361565.70315727
41,8152718.076465814,4420889.268855413
42,12958312.952517282,6810772.666199396
43,2784478.0978092756,10802993.054440673
44,6340274.159211988,3713924.2700267886
45,2177214.0233672187,4219035.198812587
46,8262731.597228303,4964250.552204984
47,32133201.420032647,9846379.140964456
48,10289560.346328279,16278353.795173567
49,2777889.610521651,5694970.920641772
50,2010657.7343071734,5689708.440831066
51,4576849.687527934,1953635.9603030307
52,12864996.230065932,12364363.54148612
53,2223144.7980626007,14551048.67130973
54,7241271.515727714,25525483.78324942
55,3416911.668664897,1971319.6481843689
56,31709722.014325585,27640246.596285786
57,29242346.53015728,19102294.51455562
58,9515891.960263385,11231233.74187675
59,11432489.430444354,18244677.30780021
60,28549783.728608314,12646676.364739256
61,5523984.222513298,9381176.6331369
62,1947216.2769129842,15449227.271453345
63,2562537.416334397,10082619.020395938
64,12034337.725045899,2425985.858898505
65,16591341.580031237,4574295.706056194
66,6759792.61492669,16136385.356097503
67,26814364.824994426,2134157.100604105
68,13388161.12168051,6356546.210555891
69,10791689.905520571,3086143.742154526
70,20876737.949064564,17539080.24503791
71,36878127.65787901,26491624.611563157
72,5066449.06562671,25829087.172743354
73,2567791.304135714,7162429.73126955
74,4796912.471570342,3799330.222989904
75,5581118.672596941,2653864.5819570026
76,2122269.0644552363,34217483.42256158
77,19773444.788588427,11476794.946697682
78,5957162.008223154,2415148.411321579
79,17345741.536563758,28978725.39855945
80,2094169.694925347,18266904.84433205
81,13491118.008631412,11432214.159424137
82,7388882.17083671,5912869.731807525
83,12021764.852273647,2832943.995953276
84,16417735.35871606,16182155.353279764
85,10275540.015039556,19428450.32545139
86,2822938.9208750823,8907873.00450694
87,16997313.9690845,8932051.283413516
88,18118657.450452436,5474020.933753993
89,2585718.064356923,16965297.00779855
90,3286019.1177053684,4245437.289641875
91,1929429.9036356423,11938758.979864078
92,1999921.1996926945,1885731.4326409462
93,9970415.118511194,2310344.3368345094
94,4018977.1807634775,7469565.2704116525
95,4536060.0046549365,2234775.482802347
96,11390694.436333606,5798241.171628644
97,38955448.965554565,17400184.623696193
98,15862728.153286368,29385841.7073843
99,37691152.46202542,2601575.465756047
100,41127371.27079026,12024794.281870067
101,5356532.888668706,5354572.955086885
102,19621954.150305342,4236396.433085328
103,8431043.189718228,6565769.285681784
104,13014420.558198154,2111989.15710496
105,42491294.91705963,4536598.128861718
106,2232468.314758579,9459190.411075186
107,4353799.493819546,22690040.804056577
108,30333487.155982643,10898862.495091822
109,7763813.822121178,21828044.51851432
110,3005316.805288923,8761269.147288142
111,18158515.95345021,4461581.170903804
112,2027735.3335255801,14668861.138421949
113,2010384.1798113834,14971105.274432736
114,16985092.584204745,8368210.316010811
115,3685495.6602999256,1844787.739844901
116,9980377.0738189,17346015.63473643
117,3569218.744547023,30980969.45550611
118,11699167.526689436,4464338.046830469
119,1854485.1708165777,2809164.1306660646
120,22367579.62396649,12236803.827754598
121,15229591.659274442,22595284.01389559
122,3540195.3715221942,7660604.083777906
123,3416710.988570676,22243041.25764275
124,2675111.312915194,3633076.2810953674
125,9660874.947578354,11584206.759965194
126,2095775.4435922944,2900749.7977850563
127,2335152.505024837,5302251.233709794
128,25364152.754065417,13892984.918088255
129,9066959.969608562,28181356.406191386
130,4928336.048018582,33355716.35321514
131,10900885.36878812,9565258.30690344
132,2336564.509250635,18766576.205051374
133,11251052.974432912,3682308.380857605
134,17386946.793431584,2108761.683945347
135,15745445.378711395,2350475.880379193
136,2326162.1216861764,8577226.584705425
137,8294918.114824032,2022928.5175362383
138,1848128.7899131398,19246572.041670956
139,3739290.8844550797,2076550.1774439367
140,11428956.076527052,4649868.922000958
141,2908936.002388938,9535295.537480904
142,12493927.847169336,5605333.479096665
143,19576466.34429244,43741817.055353895
144,2182698.322544133,7880301.025789828
145,2679442.4943414223,7722592.76938609
146,15969349.45456173,6404638.703557195
147,8110629.344498477,13061465.47759462
148,2167344.601048908,6467591.836526553
149,5360654.134301918,2248991.328129432
150,12050870.932706982,48849458.113668494
151,10344863.737769796,27600602.418331645
152,3258110.919375392,10426379.398328604
153,4723483.949316343,19095520.14977061
154,13996956.819483487,25774383.16093956
155,6153487.800394042,3687538.7034918307
156,9986769.26314456,23447765.101325743
157,19795731.87743528,12182712.79611299
158,9563270.335605387,5672562.569000238
159,2021495.7762255492,12801627.638896642
160,13394817.978660395,12431824.10256015
161,17063464.289914347,2187801.325598388
162,6647415.712427249,7029000.565523156
163,9207240.822120229,18682282.16833652
164,8603749.911034351,2112868.3805593727
165,1999596.1268351837,14467652.28770217
166,3461948.307384006,22871276.957483802
167,18137450.01749587,10184316.761042511
168,8635523.918846566,4514854.813497858
169,7369409.668168663,10576285.62547771
170,7010008.908183316,7559606.78213844
171,2259255.2625098885,2425642.8792943982
172,9863392.78918663,6026752.824257629
173,4930352.899687551,8984361.243144484
174,11855876.909787387,2366011.6403069175
175,3494940.2151852697,7380003.114945025
176,8572691.748511469,7372750.156013317
177,19347329.272231612,7601288.33592433
178,13237861.81165585,2468542.268164382
179,13984104.532800654,18269897.750163984
180,3251557.79655769,10963297.669770954
181,5644051.96222203,11971070.925363341
182,2365371.645065134,8333082.445935031
183,16233700.479103025,13342226.7298657
184,4762387.567568238,7907024.7935168315
185,8714187.206539473,2325835.067815506
186,6226154.91398383,9089362.610133138
